hip	simbad_id	ra_deg	dec_deg	v_mag
77578	* ome Ser	237.573112	2.196509	5.217
77622	* eps Ser	237.704022	4.477731	3.693
77634	* chi Lup	237.739772	-33.627147	3.946
77635	* b Sco	237.744769	-25.751294	4.635
77645	HD 141318	237.778351	-55.055536	5.767
77655	* kap CrB	237.808047	35.657382	4.82
77660	* b Ser	237.814967	-3.090506	5.1
77661	* rho Ser	237.816289	20.977920	4.78
77678	HD 141544	237.880908	-47.060804	6.005
77689	HD 141853	237.909981	-14.133586	6.207
77729	HD 141832	238.053358	-29.886533	6.382
77738	HD 142531	238.068984	55.826712	5.8
77760	* chi Her	238.168921	42.451517	4.62
77782	HD 142244	238.233815	17.403148	6.28
77801	*  39 Ser	238.300405	13.196626	6.12
77811	* lam Lib	238.333558	-20.167075	5.027
77817	HD 141585	238.345592	-62.606569	6.196
77835	HD 142357	238.395290	16.074934	6.22
77840	*   2 Sco	238.402995	-25.327141	4.59
77853	* tet Lib	238.456408	-16.729297	4.16
77858	HD 142165	238.474643	-24.533159	5.372
77859	HD 142184	238.482766	-23.978095	5.402
77900	HD 142250	238.625454	-27.338635	6.1
77902	V* QY Ser	238.644217	20.310968	5.44
77907	*   2 Her	238.657707	43.138564	5.38
77909	*   3 Sco	238.664707	-25.243739	5.87
77910	*  40 Ser	238.667811	8.580338	6.266
77952	* bet TrA	238.785675	-63.430727	2.85
77982	* kap TrA	238.873332	-68.603001	5.097
77984	*   4 Sco	238.875307	-26.265983	5.625
77985	HD 142407	238.877221	-31.083617	6.199
77986	*   4 Her	238.877466	42.566192	5.75
77995	HD 142763	238.916055	18.620744	6.257
78012	* lam CrB	238.948280	37.946957	5.424
78017	HD 143187	238.956754	58.911771	6.306
78045	HD 142139	239.024631	-60.482485	5.76
78046	HD 142448	239.028493	-39.864363	6.028
78058	HD 142542	239.058461	-31.785881	6.284
78059	HD 142640	239.060070	-14.399408	6.324
78072	* gam Ser	239.113261	15.661614	3.84
78078	V* HR Lib	239.139057	-14.829437	6.117
78104	* rho Sco	239.221155	-29.214074	3.86
78105	* ksi01 Lup	239.222874	-33.966115	5.08
78106	* ksi02 Lup	239.225470	-33.964261	5.55
78117	HD 142529	239.266128	-48.162189	6.297
78132	* phi Ser	239.310712	14.414481	5.53
78142	HD 142691	239.338858	-36.185345	5.83
78153	HD 143209	239.374267	39.695086	6.297
78159	* eps CrB	239.396881	26.877880	4.13
78168	HD 142883	239.418598	-20.983078	5.836
78180	V* CL Dra	239.447669	54.749764	4.96
78207	*  48 Lib	239.547368	-14.279356	4.87
78236	HD 142889	239.628320	-37.503883	6.307
78246	V* V913 Sco	239.645277	-24.831489	5.43
78265	* pi. Sco	239.712972	-26.114108	2.91
78276	HD 143435	239.740482	36.643771	5.586
78279	HD 142514	239.742282	-65.037585	5.74
78286	HD 143584	239.768316	49.881044	6.032
78323	HD 143009	239.876111	-41.744438	4.984
78355	HD 142919	239.975593	-54.020914	6.089
78367	HD 143084	239.991008	-40.653113	6.488
78384	* eta Lup	240.030533	-38.396705	3.41
78400	*  49 Lib	240.081815	-16.533412	5.45
78401	* del Sco	240.083355	-22.621706	2.32
78436	*  50 Lib	240.198468	-8.411358	5.526
78442	*   3 Her	240.213058	4.427358	5.804
78445	HD 143248	240.223798	-40.435477	6.221
78469	HD 143101	240.276949	-54.577903	6.124
78476	V* S TrA	240.294651	-63.776536	6.41
78486	HD 143404	240.331476	-31.889134	6.317
78493	* iot CrB	240.360687	29.851061	4.971
78527	* tet Dra	240.472271	58.565251	4.0
78540	HD 143321	240.518649	-51.120772	6.387
78542	HD 144204	240.523190	52.915938	5.902
78554	* pi. Ser	240.573715	22.804453	4.817
78575	HD 143619	240.664257	-29.135803	6.056
78592	* ups Her	240.699574	46.036704	4.709
78603	HD 143238	240.718717	-62.541591	6.246
78632	HD 144542	240.788938	59.410737	6.19
78639	* eta Nor	240.803740	-49.229696	4.643
78649	HD 144208	240.830685	36.631788	5.804
78650	HD 143787	240.835930	-25.865243	4.966
78655	HD 143699	240.850790	-38.602539	4.89
78661	HD 145622	240.880622	76.793941	5.73
78662	* iot01 Nor	240.883706	-57.775073	4.67
78665	HD 143790	240.893162	-32.000535	5.993
78685	*  43 Ser	240.940379	4.986832	6.068
78699	HD 143900	240.977928	-24.726313	6.211
78710	HD 143548	241.025828	-59.176187	6.38
78726	HD 143902	241.074243	-33.213715	6.086
78727	* ksi Sco	241.092227	-11.373104	4.17
78731	V* QY Nor	241.088835	-53.710387	6.47
78747	HD 143928	241.153398	-37.862948	5.901
78820	* bet01 Sco	241.359300	-19.805453	2.62
78821	* bet02 Sco	241.360703	-19.801902	4.89
78840	HD 144426	241.408081	8.096250	6.269
78868	HD 143346	241.482580	-72.400901	5.685
78870	HD 144390	241.499225	-6.139754	6.391
78877	HD 144334	241.526621	-23.606347	5.92
78893	HD 145454	241.581987	67.810135	5.441
78914	* del Nor	241.622715	-45.173280	4.713
78918	* tet Lup	241.648100	-36.802271	4.201
78933	* ome Sco	241.701771	-20.669189	3.97
78955	HD 144585	241.764040	-14.071298	6.32
78970	HD 144415	241.817581	-36.755633	5.7
78985	HD 144889	241.842405	21.822654	6.14
78989	HD 144183	241.850352	-56.190959	6.165
78990	* ome02 Sco	241.851363	-20.868764	4.33
79005	*  11 Sco	241.901731	-12.745407	5.77
79007	*  45 Ser	241.906413	9.891741	5.635
79031	HD 144661	241.966199	-24.462347	6.33
79043	* kap Her A	242.018857	17.046978	4.994
79045	* kap Her B	242.020606	17.054360	6.23
79050	HD 144690	242.031611	-26.326681	5.38
79072	*  47 Ser	242.116982	8.534311	5.73
79098	HD 144844	242.182168	-23.685412	5.88
79101	* phi Her	242.192401	44.934906	4.27
79102	*   8 Her	242.194296	17.205637	6.127
79119	* tau CrB	242.242954	36.490871	4.73
79120	HD 145085	242.245330	3.454475	5.909
79125	HD 145674	242.262078	57.937845	6.33
79153	* iot02 Nor	242.327282	-57.934319	5.57
79164	HD 145694	242.358222	55.828974	6.4
79195	HD 145206	242.460433	-3.466744	5.378
79199	HD 144987	242.469124	-33.545807	5.497
79203	HD 145100	242.480303	-18.340628	6.43
79208	HD 144481	242.496573	-62.967153	6.488
79280	*  19 UMi	242.706352	75.877562	5.473
79302	HD 145250	242.758618	-29.416219	5.102
79320	HD 145191	242.823767	-41.119802	5.857
79332	* q Her	242.869743	16.665691	6.082
79349	*  10 Her	242.908481	23.494801	5.7
79350	HD 145802	242.914997	33.342765	6.3
79357	HD 145931	242.948328	42.374567	5.868
79358	HD 145849	242.950231	36.425095	5.615
79374	* nu. Sco	242.998899	-19.460704	4.0
79375	* psi Sco	242.999971	-10.064142	4.928
